iter	Passed	Remaining
0	98	98098
1	99	49429
2	101	33727
3	103	25747
4	104	20794
5	106	17649
6	107	15189
7	108	13464
8	110	12176
9	112	11092
10	113	10222
11	114	9436
12	116	8810
13	117	8296
14	118	7810
15	119	7349
16	120	6962
17	121	6612
18	122	6331
19	123	6061
20	125	5830
21	126	5626
22	127	5435
23	129	5263
24	130	5077
25	131	4908
26	131	4754
27	132	4610
28	133	4476
29	134	4350
30	135	4231
31	136	4117
32	136	4011
33	137	3909
34	138	3813
35	138	3722
36	139	3638
37	140	3561
38	141	3485
39	142	3409
40	142	3336
41	143	3267
42	143	3199
43	144	3136
44	144	3075
45	145	3017
46	146	2966
47	146	2914
48	147	2862
49	148	2812
50	148	2765
51	149	2721
52	149	2676
53	150	2633
54	151	2597
55	151	2559
56	152	2521
57	152	2484
58	153	2448
59	154	2413
60	154	2380
61	155	2349
62	155	2318
63	156	2291
64	157	2262
65	157	2234
66	158	2205
67	158	2178
68	159	2152
69	160	2125
70	160	2100
71	161	2076
72	161	2052
73	162	2029
74	162	2009
75	163	1987
76	164	1966
77	164	1945
78	165	1924
79	165	1903
80	166	1884
81	166	1865
82	166	1843
83	167	1830
84	168	1813
85	169	1796
86	169	1780
87	170	1763
88	170	1746
89	171	1730
90	171	1714
91	172	1698
92	172	1683
93	173	1668
94	173	1653
95	174	1638
96	174	1624
97	174	1610
98	175	1597
99	176	1585
100	176	1573
101	177	1561
102	177	1550
103	178	1538
104	179	1526
105	179	1515
106	180	1503
107	180	1492
108	181	1481
109	181	1470
110	182	1461
111	182	1450
112	183	1440
113	183	1429
114	184	1418
115	184	1408
116	185	1397
117	185	1387
118	186	1377
119	186	1368
120	187	1358
121	187	1348
122	188	1340
123	188	1332
124	189	1323
125	189	1315
126	189	1306
127	190	1297
128	190	1289
129	191	1280
130	191	1272
131	192	1264
132	192	1256
133	193	1248
134	193	1241
135	194	1233
136	194	1226
137	195	1219
138	195	1212
139	196	1205
140	196	1198
141	196	1190
142	197	1183
143	197	1176
144	198	1169
145	198	1162
146	199	1156
147	199	1149
148	200	1142
149	200	1137
150	201	1132
151	201	1125
152	202	1119
153	202	1113
154	203	1107
155	203	1101
156	204	1096
157	204	1090
158	205	1084
159	205	1078
160	205	1072
161	206	1066
162	206	1061
163	207	1056
164	207	1051
165	208	1046
166	208	1041
167	209	1036
168	209	1031
169	210	1026
170	210	1021
171	211	1016
172	211	1011
173	212	1007
174	212	1002
175	213	997
176	213	993
177	214	988
178	214	984
179	214	979
180	215	974
181	215	970
182	216	965
183	216	961
184	217	957
185	217	952
186	218	948
187	218	945
188	219	941
189	220	938
190	220	934
191	221	931
192	221	926
193	222	922
194	222	919
195	223	914
196	223	910
197	223	907
198	224	903
199	225	900
200	225	896
201	226	892
202	226	889
203	227	885
204	227	882
205	228	879
206	228	875
207	229	872
208	229	868
209	229	865
210	230	861
211	230	858
212	231	855
213	232	852
214	232	848
215	232	845
216	233	842
217	233	838
218	234	835
219	234	832
220	235	829
221	235	826
222	236	823
223	236	819
224	237	817
225	237	814
226	238	811
227	238	808
228	239	805
229	239	802
230	240	799
231	240	796
232	241	793
233	241	790
234	242	788
235	242	785
236	243	782
237	243	779
238	244	777
239	244	775
240	245	772
241	245	769
242	246	766
243	246	764
244	247	761
245	247	758
246	248	756
247	248	753
248	249	751
249	249	749
250	250	747
251	250	744
252	251	742
253	251	739
254	252	737
255	252	734
256	253	732
257	253	729
258	254	727
259	254	724
260	255	722
261	255	719
262	256	717
263	256	715
264	257	713
265	257	711
266	258	709
267	258	706
268	259	704
269	259	701
270	260	699
271	260	697
272	260	695
273	261	692
274	261	690
275	262	688
276	262	686
277	263	684
278	264	682
279	264	680
280	265	678
281	265	676
282	266	674
283	266	671
284	266	669
285	267	667
286	267	665
287	268	663
288	268	661
289	269	659
290	270	658
291	270	656
292	271	654
293	271	652
294	271	650
295	272	648
296	272	646
297	273	644
298	273	642
299	274	640
300	274	638
301	275	636
302	275	634
303	276	632
304	276	630
305	277	628
306	277	627
307	278	625
308	278	623
309	279	621
310	279	619
311	280	617
312	280	615
313	280	613
314	281	611
315	281	610
316	282	608
317	282	606
318	283	605
319	283	603
320	284	601
321	284	599
322	285	598
323	285	596
324	286	594
325	286	592
326	287	591
327	287	589
328	288	587
329	288	586
330	289	584
331	289	583
332	290	581
333	291	580
334	291	579
335	292	577
336	292	576
337	293	574
338	294	573
339	294	572
340	295	570
341	295	569
342	296	567
343	296	566
344	297	564
345	297	563
346	298	561
347	298	559
348	299	557
349	299	556
350	300	554
351	300	553
352	301	551
353	301	550
354	302	548
355	302	547
356	302	545
357	303	544
358	303	542
359	304	541
360	304	539
361	305	538
362	305	536
363	306	535
364	306	533
365	307	532
366	307	531
367	308	529
368	308	528
369	309	526
370	309	525
371	310	523
372	310	522
373	311	520
374	311	519
375	312	518
376	312	516
377	313	515
378	313	513
379	314	512
380	314	511
381	315	509
382	315	508
383	315	506
384	316	505
385	316	504
386	317	502
387	317	501
388	318	499
389	318	498
390	319	497
391	319	495
392	320	494
393	320	493
394	321	492
395	321	490
396	322	489
397	322	488
398	323	487
399	324	486
400	324	484
401	324	483
402	325	482
403	325	480
404	326	479
405	327	478
406	327	477
407	327	475
408	328	474
409	328	473
410	329	471
411	329	470
412	330	469
413	331	468
414	331	467
415	332	466
416	332	465
417	333	464
418	333	463
419	334	461
420	334	460
421	335	459
422	336	458
423	336	457
424	337	456
425	337	455
426	338	454
427	338	452
428	339	451
429	340	450
430	340	449
431	341	448
432	341	447
433	342	446
434	342	445
435	343	443
436	343	442
437	343	441
438	344	440
439	344	438
440	345	437
441	346	436
442	346	435
443	347	434
444	347	433
445	348	432
446	348	431
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	424
453	351	423
454	352	422
455	352	421
456	353	420
457	354	419
458	354	417
459	355	416
460	355	415
461	356	414
462	356	413
463	356	412
464	357	411
465	357	410
466	358	409
467	359	408
468	359	407
469	360	406
470	360	405
471	361	404
472	361	403
473	362	401
474	362	400
475	363	399
476	363	398
477	363	397
478	364	396
479	365	395
480	365	394
481	366	393
482	366	392
483	367	391
484	367	390
485	368	389
486	368	388
487	369	387
488	369	386
489	370	385
490	371	384
491	371	383
492	372	382
493	372	382
494	373	381
495	374	380
496	374	379
497	375	378
498	375	377
499	376	376
500	376	375
501	377	374
502	377	373
503	378	372
504	378	371
505	379	370
506	379	369
507	380	368
508	381	367
509	381	366
510	382	365
511	382	364
512	383	364
513	384	363
514	384	362
515	385	361
516	386	360
517	386	359
518	387	358
519	387	357
520	388	357
521	388	356
522	389	355
523	390	354
524	390	353
525	391	352
526	391	351
527	392	350
528	393	350
529	393	349
530	394	348
531	394	347
532	395	346
533	395	345
534	396	344
535	396	343
536	397	342
537	397	341
538	398	340
539	398	339
540	399	338
541	399	337
542	400	336
543	400	335
544	401	334
545	401	334
546	402	333
547	403	332
548	403	331
549	404	330
550	404	329
551	405	329
552	405	328
553	406	327
554	407	326
555	407	325
556	408	324
557	408	323
558	409	323
559	410	322
560	410	321
561	411	320
562	411	319
563	412	318
564	412	317
565	413	316
566	413	316
567	414	315
568	414	314
569	415	313
570	416	312
571	416	311
572	417	310
573	417	309
574	418	308
575	418	308
576	419	307
577	419	306
578	419	305
579	420	304
580	420	303
581	421	302
582	422	301
583	422	301
584	423	300
585	423	299
586	424	298
587	424	297
588	424	296
589	425	295
590	425	294
591	426	293
592	426	292
593	427	292
594	428	291
595	429	290
596	429	290
597	430	289
598	430	288
599	431	287
600	431	286
601	432	285
602	432	284
603	433	283
604	433	283
605	434	282
606	434	281
607	435	280
608	435	279
609	436	278
610	436	278
611	437	277
612	437	276
613	438	275
614	438	274
615	439	273
616	439	272
617	440	271
618	440	271
619	440	270
620	441	269
621	442	268
622	442	267
623	443	267
624	443	266
625	444	265
626	444	264
627	444	263
628	445	262
629	446	262
630	446	261
631	447	260
632	448	259
633	448	259
634	449	258
635	449	257
636	450	256
637	451	255
638	451	255
639	452	254
640	452	253
641	453	252
642	453	252
643	454	251
644	454	250
645	455	249
646	456	248
647	456	247
648	457	247
649	457	246
650	457	245
651	458	244
652	459	244
653	459	243
654	460	242
655	460	241
656	461	240
657	461	239
658	462	239
659	462	238
660	463	237
661	463	236
662	463	235
663	464	235
664	464	234
665	465	233
666	466	232
667	466	231
668	467	231
669	467	230
670	467	229
671	468	228
672	468	227
673	469	227
674	469	226
675	470	225
676	470	224
677	471	223
678	472	223
679	472	222
680	473	221
681	473	220
682	473	219
683	474	219
684	474	218
685	475	217
686	475	216
687	476	216
688	476	215
689	477	214
690	477	213
691	478	212
692	478	212
693	479	211
694	479	210
695	480	209
696	480	209
697	481	208
698	481	207
699	482	206
700	482	205
701	483	205
702	483	204
703	484	203
704	484	202
705	485	202
706	485	201
707	486	200
708	486	199
709	487	199
710	487	198
711	488	197
712	489	196
713	489	196
714	490	195
715	490	194
716	491	193
717	491	193
718	492	192
719	493	191
720	493	190
721	493	190
722	494	189
723	494	188
724	495	187
725	495	187
726	496	186
727	496	185
728	497	184
729	497	184
730	498	183
731	498	182
732	499	181
733	499	181
734	500	180
735	500	179
736	501	178
737	501	178
738	502	177
739	502	176
740	503	175
741	503	175
742	504	174
743	504	173
744	505	172
745	505	172
746	506	171
747	506	170
748	507	169
749	507	169
750	508	168
751	508	167
752	508	166
753	509	166
754	510	165
755	510	164
756	511	164
757	511	163
758	512	162
759	512	161
760	513	161
761	514	160
762	514	159
763	515	159
764	516	158
765	516	157
766	517	157
767	517	156
768	518	155
769	518	154
770	519	154
771	519	153
772	520	152
773	521	152
774	521	151
775	522	150
776	522	150
777	523	149
778	524	148
779	524	147
780	525	147
781	525	146
782	526	145
783	526	145
784	527	144
785	528	143
786	528	143
787	529	142
788	529	141
789	530	141
790	531	140
791	531	139
792	532	138
793	532	138
794	533	137
795	533	136
796	534	136
797	534	135
798	535	134
799	535	133
800	536	133
801	536	132
802	537	131
803	537	131
804	538	130
805	538	129
806	539	128
807	539	128
808	539	127
809	540	126
810	541	126
811	541	125
812	542	124
813	542	124
814	543	123
815	543	122
